what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1278602931786
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1278602931786
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1278602931786
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1278602931787
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1278602931787
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1278602931787
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1278602931788
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1278602931788
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1278602931789
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1278602931789
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1278602931790
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1278602931791
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1278602931808
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1278602931808
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1278602931808
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1278602931810
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1278602931810
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1278602931811
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1278602931811
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1278602931812
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1278602931813
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1278602931813
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1278602931814
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1278602931814
started,bundle,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.adt",1278602931814
started,bundle,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms",1278602931814
os,sysinfo,,,"macosx",1278602931817
arch,sysinfo,,,"x86",1278602931817
ws,sysinfo,,,"cocoa",1278602931817
locale,sysinfo,,,"en_US",1278602931817
processors,sysinfo,,,"2",1278602931817
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1278602931817
java.runtime.version,sysinfo,,,"1.6.0_20-b02-279-10M3065",1278602931817
java.specification.name,sysinfo,,,"Java Platform API Specification",1278602931817
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1278602931817
java.specification.version,sysinfo,,,"1.6",1278602931817
java.vendor,sysinfo,,,"Apple Inc.",1278602931817
java.version,sysinfo,,,"1.6.0_20",1278602931817
java.vm.info,sysinfo,,,"mixed mode",1278602931817
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1278602931817
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1278602931817
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1278602931817
java.vm.specification.version,sysinfo,,,"1.0",1278602931817
java.vm.vendor,sysinfo,,,"Apple Inc.",1278602931817
java.vm.version,sysinfo,,,"16.3-b01-279",1278602931817
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278602938654
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278602940887
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.help.aboutAction",1278602940934
